offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1341,6728,10-12-2025,pending,3.19,4.26,85.13,AWW3,qtr
1341,6729,10-12-2025,pending,5.06,5.96,85.13,DD10,qtr
1341,6675,10-12-2025,pending,3.68,4.91,70.09,DD2,ksa
1341,6675,10-12-2025,pending,4.44,5.92,84.57,DD2,kwt
1341,6706,10-12-2025,pending,3.64,4.86,69.36,DD8,ksa
1341,6706,10-12-2025,pending,3.64,4.86,69.36,DD8,ksa
1341,6706,10-12-2025,pending,3.64,4.86,69.36,DD8,ksa
1341,6706,10-12-2025,pending,3.64,4.86,69.36,DD8,ksa
1341,6706,10-12-2025,pending,8.21,10.95,156.47,DD8,uae
1341,6706,10-12-2025,pending,4.96,6.61,94.49,DD8,qtr
1341,6706,10-12-2025,pending,1.74,2.33,46.52,DI4,ksa
1341,6706,10-12-2025,pending,3.39,4.52,90.46,DI4,qtr
1341,3607,10-12-2025,pending,3.39,4.52,90.46,DI93,qtr
1341,14536,10-12-2025,pending,2.63,3.5,70.09,TT21,ksa
1341,6728,10-15-2025,pending,2.46,3.28,65.56,ACC99,ksa
1341,6728,10-15-2025,pending,2.81,3.74,74.87,ACC99,uae
1341,6728,10-13-2025,pending,3.39,4.52,90.46,ACC99,qtr
1341,6728,10-13-2025,pending,3.39,4.52,90.46,AWW3,qtr
1341,6728,10-15-2025,pending,4.32,5.76,115.22,AWW3,qtr
1341,6729,10-15-2025,pending,9.65,11.35,162.2,DD10,qtr
1341,6675,10-13-2025,pending,3.68,4.91,70.09,DD2,ksa
1341,14298,10-13-2025,pending,3.64,4.86,69.36,DD3,ksa
1341,14298,10-13-2025,pending,3.64,4.86,69.36,DD3,ksa
1341,14298,10-14-2025,pending,3.4,4.54,64.84,DD3,ksa
1341,14298,10-14-2025,pending,3.89,5.18,74.05,DD3,uae
1341,13945,10-15-2025,pending,1.94,2.26,32.31,DD5,ksa
1341,13945,10-14-2025,pending,6.91,8.06,115.19,DD5,uae
1341,13945,10-13-2025,pending,10.0,11.67,166.67,DD5,qtr
1341,13945,10-14-2025,pending,5.06,5.9,84.27,DD5,qtr
1341,10856,10-14-2025,pending,3.44,4.59,65.56,DD7,ksa
1341,10856,10-14-2025,pending,4.2,5.6,79.94,DD7,uae
1341,10856,10-15-2025,pending,19.62,26.16,373.66,DD7,uae
1341,10856,10-15-2025,pending,6.28,8.37,119.54,DD7,kwt
1341,6706,10-13-2025,pending,3.64,4.86,69.36,DD8,ksa
1341,6706,10-13-2025,pending,4.15,5.54,79.12,DD8,uae
1341,6706,10-13-2025,pending,4.15,5.54,79.12,DD8,uae
1341,6706,10-13-2025,pending,4.42,5.9,84.27,DD8,qtr
1341,6706,10-13-2025,pending,17.12,22.83,326.14,DD8,qtr
1341,6706,10-14-2025,pending,4.42,5.9,84.27,DD8,qtr
1341,6706,10-14-2025,pending,2.11,2.82,40.28,DD8,omn
1341,6706,10-14-2025,pending,1.64,2.19,43.72,DI4,uae
1341,14590,10-13-2025,pending,3.6,4.0,79.94,DI77,uae
1341,3607,10-13-2025,pending,3.39,4.52,90.46,DI93,qtr
1341,3607,10-15-2025,pending,2.99,3.99,79.8,DI93,qtr
1341,5458,10-13-2025,pending,1.43,1.91,38.13,TT14,ksa
1341,10861,10-15-2025,pending,2.28,3.04,60.8,TT51,ksa
1341,10861,10-14-2025,pending,7.62,10.16,203.19,TT51,uae
1341,6728,10-17-2025,pending,2.97,3.95,79.1,ACC99,omn
1341,6729,10-17-2025,pending,3.85,4.53,64.65,DD10,ksa
1341,6729,10-18-2025,pending,3.9,4.59,65.56,DD10,ksa
1341,14298,10-16-2025,pending,3.4,4.54,64.83,DD3,ksa
1341,14298,10-17-2025,pending,3.4,4.54,64.83,DD3,ksa
1341,14298,10-18-2025,pending,1.13,1.51,21.54,DD3,ksa
1341,14465,10-16-2025,pending,4.08,4.54,64.83,DD4,ksa
