offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1208,6947,09-12-2025,pending,3.5,5.0,129.51,VE81,uae
1208,6947,09-12-2025,pending,3.5,5.0,99.18,VE81,uae
1161,2345,09-12-2025,pending,2.88,3.39,103.26,V324,kwt
1146,6706,09-12-2025,pending,2.76,4.0,23.34,VAAK9,ksa
1146,14465,09-12-2025,pending,3.6,4.0,310.1,VWWMG,ksa
1146,6728,09-12-2025,pending,2.76,4.0,45.64,VL6HH,ksa
1146,6887,09-12-2025,pending,2.76,4.0,41.68,VHBES,ksa
1146,2345,09-12-2025,pending,3.6,4.0,81.4,VEV2N,qat
1132,14052,09-12-2025,pending,5.44,8.0,51.28,VJOA,ksa
1132,6947,09-12-2025,pending,5.44,8.0,171.58,VGVQ,uae
