offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1131,6706,10-05-2025,pending,13.85,19.79,197.91,VJ33,ksa
1131,6706,10-05-2025,pending,10.77,15.39,153.87,VBSB,ksa
1131,6706,10-05-2025,pending,6.68,9.54,95.44,VJ33,uae
1208,10856,10-05-2025,pending,3.5,5.0,36.47,VRQ3,ksa
1208,10856,10-05-2025,pending,3.5,5.0,93.78,VRQ3,ksa
1250,6706,10-05-2025,pending,28.75,38.33,383.35,VQ22,kwt
1146,6706,10-05-2025,pending,2.76,4.0,132.75,VAAK9,ksa
1146,6706,10-05-2025,pending,2.76,4.0,14.8,VAAK9,qat
1146,6947,10-05-2025,pending,2.76,4.0,78.93,VNRP0,qat
1146,6706,10-05-2025,pending,2.76,4.0,156.62,VAAK9,qat
1146,6785,10-05-2025,pending,2.76,4.0,67.67,VEJOG,uae
1132,14205,10-05-2025,pending,5.44,8.0,17.38,VIYN,ksa
1132,6947,10-05-2025,pending,1.36,2.0,172.68,VGVQ,ksa
1132,14465,10-05-2025,pending,1.8,2.0,72.15,V5NG,ksa
1132,189,10-05-2025,pending,6.0,8.0,120.99,VD8L,ksa
1132,189,10-05-2025,pending,1.5,2.0,140.79,VB3J,ksa
1132,6947,10-05-2025,pending,1.36,2.0,117.69,VGVQ,ksa
1132,189,10-05-2025,pending,1.5,2.0,436.21,VB3J,ksa
1132,6947,10-05-2025,pending,5.44,8.0,207.68,VGVQ,ksa
1132,14465,10-05-2025,pending,1.8,2.0,51.47,V5NG,ksa
1132,189,10-05-2025,pending,1.5,2.0,43.6,VTBO,kwt
1132,189,10-05-2025,pending,1.5,2.0,70.07,VTBO,kwt
1132,6947,10-05-2025,pending,1.36,2.0,224.15,VGVQ,kwt
1132,6893,10-05-2025,pending,5.44,8.0,52.96,V39O,uae
1132,189,10-05-2025,pending,1.5,2.0,20.81,VTK5,uae
1132,6947,10-05-2025,pending,1.36,2.0,35.59,VGVQ,uae
1132,6947,10-05-2025,pending,1.36,2.0,118.24,VGVQ,uae
1160,10856,10-05-2025,pending,4.2,6.0,115.49,V8CM,ksa
1130,10856,10-05-2025,pending,3.2,5.0,39.38,VV0T,ksa
1130,6893,10-05-2025,pending,3.2,5.0,42.45,VFYS,ksa
