offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1215,14465,09-10-2025,pending,7.02,7.8,78.04,R199,ksa
1215,6706,09-11-2025,pending,6.66,9.51,95.14,ZF,ksa
1215,14465,09-12-2025,pending,2.88,3.2,32.04,R199,ksa
1215,14465,09-10-2025,pending,3.74,4.15,41.54,R199,ksa
1215,14465,09-10-2025,pending,2.69,2.99,29.92,R199,ksa
1215,14465,09-10-2025,pending,2.97,3.3,32.95,R199,ksa
1215,6706,09-11-2025,pending,2.46,3.51,35.13,Z50,ksa
1215,14465,09-12-2025,pending,5.17,5.74,57.42,R199,ksa
1215,14465,09-10-2025,pending,15.49,17.21,172.08,R199,ksa
1215,14465,09-10-2025,pending,3.44,3.82,38.2,R199,ksa
1215,7142,09-10-2025,pending,1.49,2.13,21.3,R188,ksa
1215,14465,09-10-2025,pending,1.86,2.07,20.71,R199,ksa
1215,14465,09-11-2025,pending,2.75,3.06,30.57,R199,ksa
1215,14465,09-12-2025,pending,4.01,4.45,44.54,R199,ksa
