offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1182,1,08-22-2025,pending,0.0,5.96,39.73,AB30,ksa
1182,1,08-22-2025,pending,0.0,7.61,50.76,AB60,ksa
1182,1,08-22-2025,pending,0.0,2.1,14.03,AB52,ksa
1182,1,08-23-2025,pending,0.0,3.91,26.05,AB30,ksa
1182,1,08-24-2025,pending,0.0,11.99,79.95,AB70,ksa
1182,1,08-25-2025,pending,0.0,12.21,81.42,AB12,ksa
1182,1,08-25-2025,pending,0.0,12.07,80.44,AB12,ksa
1182,1,08-27-2025,pending,0.0,6.3,41.99,AB44,ksa
1182,1,08-27-2025,pending,0.0,6.4,42.67,AB30,ksa
1182,1,08-27-2025,pending,0.0,7.43,49.54,AB30,ksa
1182,1,08-27-2025,pending,0.0,12.03,80.19,AB12,ksa
1182,1,08-28-2025,pending,0.0,6.3,41.99,AB12,ksa
1182,1,08-29-2025,pending,0.0,6.3,41.99,AB30,ksa
1182,1,08-30-2025,pending,0.0,4.46,29.73,AB30,ksa
1182,1,08-30-2025,pending,0.0,6.18,41.2,AB30,ksa
1182,1,08-30-2025,pending,0.0,6.18,41.2,AB44,ksa
1182,1,08-31-2025,pending,0.0,7.28,48.56,AB104,ksa
1182,1,08-31-2025,pending,0.0,9.12,60.82,AB30,ksa
1182,1,08-31-2025,pending,0.0,6.08,40.52,AB198,ksa
1182,1,09-01-2025,pending,0.0,7.28,48.56,AB70,ksa
1182,1,09-02-2025,pending,0.0,5.78,38.5,AB30,ksa
1182,1,09-02-2025,pending,0.0,12.8,85.34,AB30,ksa
1182,1,09-03-2025,pending,0.0,6.14,40.95,AB30,ksa
1182,1,09-04-2025,pending,0.0,6.51,43.41,AB198,ksa
1182,1,09-06-2025,pending,0.0,76.48,509.84,AB60,ksa
1182,1,09-06-2025,pending,0.0,27.81,185.4,AB60,ksa
1182,1,09-06-2025,pending,0.0,15.34,102.26,AB60,ksa
1182,1,09-06-2025,pending,0.0,4.46,29.73,AB30,ksa
1182,1,08-27-2025,pending,0.0,15.3,102.02,AB173,uae
1182,1,08-28-2025,pending,0.0,30.94,206.24,AB60,uae
1182,1,08-30-2025,pending,0.0,19.02,126.78,AB60,uae
1182,1,08-31-2025,pending,0.0,6.22,41.44,AB30,uae
1182,1,09-03-2025,pending,0.0,6.95,46.35,AB198,uae
1182,1,09-04-2025,pending,0.0,14.6,97.36,AB173,uae
1182,1,09-07-2025,pending,0.0,18.72,124.82,AB61,uae
1182,1,09-07-2025,pending,0.0,10.19,67.93,AB30,uae
