offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1186,1,09-22-2025,pending,0.0,0.5,0,SD19,SAU
1186,14465,09-22-2025,pending,0.48,0.5,0,TDD39,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY37,SAU
1186,1,09-22-2025,pending,0.0,0.5,0,SD51,SAU
1186,6729,09-22-2025,pending,0.35,0.5,0,GY5,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY33,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD22,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY37,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD11,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY33,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY33,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD22,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD11,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD22,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY33,SAU
1186,6729,09-22-2025,pending,0.35,0.5,0,GY5,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD22,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD11,SAU
1186,6924,09-22-2025,pending,0.35,0.5,0,GY1,SAU
1186,663,09-22-2025,pending,0.4,0.5,0,GY34,SAU
1186,10861,09-22-2025,pending,0.35,0.5,0,SD184,SAU
1186,14465,09-22-2025,pending,9.5,10.0,0,GY96,SAU
1186,14465,09-22-2025,pending,0.48,0.5,0,TDD40,SAU
1186,14465,09-22-2025,pending,9.5,10.0,0,GY96,SAU
1186,10861,09-22-2025,pending,0.35,0.5,0,SD184,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY37,SAU
1186,7083,09-22-2025,pending,0.4,0.5,0,GY30,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD11,SAU
1186,14465,09-22-2025,pending,0.48,0.5,0,TDD40,SAU
1186,14465,09-22-2025,pending,0.48,0.5,0,TDD39,SAU
1186,14465,09-22-2025,pending,9.5,10.0,0,GY96,SAU
1186,14465,09-22-2025,pending,9.5,10.0,0,GY96,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY37,SAU
1186,6675,09-22-2025,pending,0.45,0.5,0,SD22,SAU
1186,14772,09-22-2025,pending,0.35,0.5,0,SD56,SAU
1186,6811,09-22-2025,pending,7.0,10.0,0,SD44,SAU
1186,6706,09-22-2025,pending,8.8,10.0,0,GY33,SAU
1186,14465,09-22-2025,pending,9.5,10.0,0,GY96,SAU
1186,14465,09-22-2025,pending,9.5,10.0,0,GY96,SAU
1186,6729,09-22-2025,pending,0.35,0.5,0,GY5,SAU
1186,14749,09-22-2025,pending,0.35,0.5,0,GY31,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY37,SAU
1186,13829,09-22-2025,pending,0.35,0.5,0,GY11,SAU
1186,10861,09-22-2025,pending,0.35,0.5,0,SD184,SAU
1186,6706,09-22-2025,pending,0.44,0.5,0,GY37,SAU
