offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,23.58,27.74,138.68,FXN,no-geo
910,8486,09-22-2025,pending,16.33,19.21,96.06,OST,no-geo
910,8486,09-22-2025,pending,16.33,19.21,96.06,OST,no-geo
910,6706,09-22-2025,pending,12.07,15.09,75.44,DF5,no-geo
910,6706,09-22-2025,pending,12.07,15.09,75.44,DF5,no-geo
910,14727,09-22-2025,pending,13.57,16.97,84.83,URPAY1,no-geo
910,6706,09-22-2025,pending,12.54,15.67,78.36,FUJ,no-geo
910,7142,09-22-2025,pending,14.9,18.63,93.13,DD44,no-geo
910,6924,09-22-2025,pending,6.86,8.08,40.38,CR5,no-geo
910,8486,09-23-2025,pending,5.78,5.78,115.7,FXN,no-geo
910,8486,09-23-2025,pending,5.78,5.78,115.7,FXN,no-geo
910,8486,09-23-2025,pending,5.78,5.78,115.7,FXN,no-geo
910,8486,09-23-2025,pending,5.78,5.78,115.7,FXN,no-geo
910,8486,09-23-2025,pending,5.78,5.78,115.7,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,8486,09-22-2025,pending,8.01,8.01,160.23,FXN,no-geo
910,6706,09-22-2025,pending,3.44,4.3,86.08,FUJ,no-geo
910,6706,09-22-2025,pending,3.44,4.3,86.08,FUJ,no-geo
910,6706,09-22-2025,pending,3.44,4.3,86.08,FUJ,no-geo
910,6706,09-22-2025,pending,3.44,4.3,86.08,FUJ,no-geo
910,6706,09-22-2025,pending,3.44,4.3,86.08,FUJ,no-geo
910,6706,09-22-2025,pending,3.44,4.3,86.08,FUJ,no-geo
910,6706,09-22-2025,pending,3.44,4.3,86.08,FUJ,no-geo
910,6706,09-22-2025,pending,3.52,4.39,87.9,CNL,no-geo
910,6706,09-22-2025,pending,3.52,4.39,87.9,CNL,no-geo
910,6706,09-22-2025,pending,3.52,4.39,87.9,CNL,no-geo
910,6706,09-22-2025,pending,3.52,4.39,87.9,CNL,no-geo
910,6924,09-22-2025,pending,2.28,2.68,53.69,CR5,no-geo
910,6924,09-22-2025,pending,2.28,2.68,53.69,CR5,no-geo
910,8486,09-22-2025,pending,2.29,2.29,45.72,OST,no-geo
910,8486,09-22-2025,pending,2.29,2.29,45.72,OST,no-geo
910,14727,09-22-2025,pending,3.65,4.56,91.14,URPAY1,no-geo
910,14727,09-22-2025,pending,3.65,4.56,91.14,URPAY1,no-geo
910,6706,09-22-2025,pending,8.99,11.24,224.76,DF5,no-geo
910,14298,09-22-2025,pending,1.92,2.41,48.12,QQQ,no-geo
