offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1345,10856,09-23-2025,pending,1.25,1.67,16.67,TT50,ksa
1345,14750,09-23-2025,pending,3.22,4.29,42.88,TT59,ksa
1345,6675,09-22-2025,pending,13.71,18.28,182.77,TT5,ksa
1345,10856,09-22-2025,pending,1.42,1.89,18.94,TT50,ksa
1345,14750,09-22-2025,pending,2.32,3.09,30.91,TT59,ksa
1345,10856,09-22-2025,pending,6.69,8.92,89.16,TT50,ksa
1345,6729,09-22-2025,pending,1.24,1.65,16.48,WAFY,ksa
1345,6675,09-22-2025,pending,6.74,8.99,89.9,TT5,ksa
1345,10856,09-22-2025,pending,2.6,3.46,34.62,TT50,ksa
1345,986,09-22-2025,pending,4.6,6.14,61.39,TT80,ksa
1345,6675,09-22-2025,pending,3.34,4.45,44.54,TT5,ksa
1345,3607,09-22-2025,pending,5.55,7.4,73.96,TT90,ksa
1345,986,09-22-2025,pending,1.84,2.45,24.48,TT76,ksa
1345,14750,09-22-2025,pending,2.04,2.72,27.21,TT59,ksa
1345,663,09-22-2025,pending,3.51,4.69,46.87,TT25,ksa
1345,986,09-22-2025,pending,5.55,7.4,73.97,TT76,ksa
1345,663,09-22-2025,pending,0.36,0.48,4.83,TT25,ksa
1345,10856,09-22-2025,pending,5.28,7.04,70.39,TT50,ksa
1345,7010,09-22-2025,pending,8.81,11.74,117.45,WFRLY,ksa
1345,14750,09-22-2025,pending,5.79,7.71,77.13,TT59,ksa
1345,986,09-22-2025,pending,5.55,7.4,73.96,TT76,ksa
1345,986,09-22-2025,pending,5.32,7.09,70.93,TT78,ksa
1345,10856,09-22-2025,pending,1.97,2.63,26.26,TT50,ksa
1345,986,09-22-2025,pending,10.05,13.39,133.95,TT80,ksa
1345,14750,09-22-2025,pending,3.32,4.43,44.25,TT59,ksa
1345,10856,09-22-2025,pending,3.31,4.41,44.08,TT50,ksa
1345,663,09-22-2025,pending,7.98,10.64,106.4,TT25,ksa
1345,6924,09-22-2025,pending,3.9,5.19,51.94,TT7,ksa
1345,10856,09-22-2025,pending,32.02,42.69,426.87,TT50,ksa
1345,5566,09-21-2025,pending,5.72,7.14,71.44,BAH,ksa
1345,6669,09-21-2025,pending,10.72,14.29,142.91,TT40,ksa
