offer,date,revenue,sale_amount,coupon_code,geo
910,"July 21, 2025",24.18,151.13,dd44,no-geo
910,"July 21, 2025",7.16,71.58,fxn,no-geo
910,"July 20, 2025",14.11,141.13,fxn,no-geo
910,"July 20, 2025",14.11,141.13,fxn,no-geo
910,"July 20, 2025",14.11,141.13,fxn,no-geo
910,"July 20, 2025",3.3,33.03,cnl,no-geo
910,"July 20, 2025",3.3,33.03,cnl,no-geo
910,"July 20, 2025",67.38,673.77,df5,no-geo
910,"July 20, 2025",67.38,673.77,df5,no-geo
910,"July 20, 2025",13.49,134.92,ost,no-geo
910,"July 20, 2025",2.75,27.49,fuj,no-geo
910,"July 20, 2025",53.84,336.47,ifw,no-geo
910,"July 21, 2025",8.28,82.81,fxn,no-geo
910,"July 21, 2025",8.28,82.81,fxn,no-geo
910,"July 21, 2025",9.47,94.71,tnmw,no-geo
910,"July 21, 2025",9.47,94.71,tnmw,no-geo
910,"July 21, 2025",3.36,33.55,df5,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",7.13,71.33,fxn,no-geo
910,"July 20, 2025",14.62,146.22,fuj,no-geo
910,"July 20, 2025",14.62,146.22,fuj,no-geo
910,"July 20, 2025",14.62,146.22,fuj,no-geo
910,"July 20, 2025",14.62,146.22,fuj,no-geo
910,"July 20, 2025",12.49,124.86,qqq,no-geo
910,"July 20, 2025",12.49,124.86,qqq,no-geo
910,"July 20, 2025",12.49,124.86,qqq,no-geo
910,"July 20, 2025",17.43,174.32,df5,no-geo
910,"July 20, 2025",17.43,174.32,df5,no-geo
910,"July 20, 2025",29.67,296.72,tnmw,no-geo
